[0.000000] (-) TimerEvent: {}
[0.000374] (-) JobUnselected: {'identifier': 'br2_gazebo_worlds'}
[0.000521] (-) JobUnselected: {'identifier': 'launch_pal'}
[0.000687] (-) JobUnselected: {'identifier': 'omni_base_bringup'}
[0.000767] (-) JobUnselected: {'identifier': 'omni_base_controller_configuration'}
[0.000781] (-) JobUnselected: {'identifier': 'omni_base_description'}
[0.000794] (-) JobUnselected: {'identifier': 'omni_base_robot'}
[0.000805] (-) JobUnselected: {'identifier': 'pal_gripper'}
[0.000816] (-) JobUnselected: {'identifier': 'pal_gripper_controller_configuration'}
[0.000827] (-) JobUnselected: {'identifier': 'pal_gripper_description'}
[0.000838] (-) JobUnselected: {'identifier': 'pal_gripper_simulation'}
[0.000849] (-) JobUnselected: {'identifier': 'pal_hey5'}
[0.000860] (-) JobUnselected: {'identifier': 'pal_hey5_controller_configuration'}
[0.000871] (-) JobUnselected: {'identifier': 'pal_hey5_description'}
[0.000882] (-) JobUnselected: {'identifier': 'pal_maps'}
[0.000893] (-) JobUnselected: {'identifier': 'pal_robotiq_controller_configuration'}
[0.000904] (-) JobUnselected: {'identifier': 'pal_robotiq_description'}
[0.000914] (-) JobUnselected: {'identifier': 'pal_robotiq_gripper'}
[0.000925] (-) JobUnselected: {'identifier': 'pal_urdf_utils'}
[0.000936] (-) JobUnselected: {'identifier': 'play_motion2'}
[0.000952] (-) JobUnselected: {'identifier': 'play_motion2_msgs'}
[0.000963] (-) JobUnselected: {'identifier': 'pmb2_2dnav'}
[0.000974] (-) JobUnselected: {'identifier': 'pmb2_bringup'}
[0.000984] (-) JobUnselected: {'identifier': 'pmb2_controller_configuration'}
[0.000995] (-) JobUnselected: {'identifier': 'pmb2_description'}
[0.001006] (-) JobUnselected: {'identifier': 'pmb2_laser_sensors'}
[0.001017] (-) JobUnselected: {'identifier': 'pmb2_navigation'}
[0.001028] (-) JobUnselected: {'identifier': 'pmb2_robot'}
[0.001038] (-) JobUnselected: {'identifier': 'tiago_2dnav'}
[0.001049] (-) JobUnselected: {'identifier': 'tiago_bringup'}
[0.001059] (-) JobUnselected: {'identifier': 'tiago_controller_configuration'}
[0.001070] (-) JobUnselected: {'identifier': 'tiago_description'}
[0.001081] (-) JobUnselected: {'identifier': 'tiago_gazebo'}
[0.001092] (-) JobUnselected: {'identifier': 'tiago_harmonic'}
[0.001102] (-) JobUnselected: {'identifier': 'tiago_laser_sensors'}
[0.001113] (-) JobUnselected: {'identifier': 'tiago_moveit_config'}
[0.001123] (-) JobUnselected: {'identifier': 'tiago_navigation'}
[0.001134] (-) JobUnselected: {'identifier': 'tiago_robot'}
[0.001144] (-) JobUnselected: {'identifier': 'tiago_simulation'}
[0.001303] (-) EventReactorShutdown: {}
