[0.000000] (-) TimerEvent: {}
[0.000223] (-) JobUnselected: {'identifier': 'br2_gazebo_worlds'}
[0.000321] (-) JobUnselected: {'identifier': 'launch_pal'}
[0.000352] (-) JobUnselected: {'identifier': 'omni_base_bringup'}
[0.000412] (-) JobUnselected: {'identifier': 'omni_base_controller_configuration'}
[0.000428] (-) JobUnselected: {'identifier': 'omni_base_description'}
[0.000480] (-) JobUnselected: {'identifier': 'omni_base_robot'}
[0.000494] (-) JobUnselected: {'identifier': 'pal_gripper'}
[0.000551] (-) JobUnselected: {'identifier': 'pal_gripper_controller_configuration'}
[0.000565] (-) JobUnselected: {'identifier': 'pal_gripper_description'}
[0.000593] (-) JobUnselected: {'identifier': 'pal_gripper_simulation'}
[0.000605] (-) JobUnselected: {'identifier': 'pal_hey5'}
[0.000617] (-) JobUnselected: {'identifier': 'pal_hey5_controller_configuration'}
[0.000628] (-) JobUnselected: {'identifier': 'pal_hey5_description'}
[0.000640] (-) JobUnselected: {'identifier': 'pal_maps'}
[0.000651] (-) JobUnselected: {'identifier': 'pal_robotiq_controller_configuration'}
[0.000662] (-) JobUnselected: {'identifier': 'pal_robotiq_description'}
[0.000673] (-) JobUnselected: {'identifier': 'pal_robotiq_gripper'}
[0.000684] (-) JobUnselected: {'identifier': 'pal_urdf_utils'}
[0.000695] (-) JobUnselected: {'identifier': 'play_motion2'}
[0.000711] (-) JobUnselected: {'identifier': 'play_motion2_msgs'}
[0.000723] (-) JobUnselected: {'identifier': 'pmb2_2dnav'}
[0.000734] (-) JobUnselected: {'identifier': 'pmb2_bringup'}
[0.000745] (-) JobUnselected: {'identifier': 'pmb2_controller_configuration'}
[0.000756] (-) JobUnselected: {'identifier': 'pmb2_description'}
[0.000773] (-) JobUnselected: {'identifier': 'pmb2_laser_sensors'}
[0.000787] (-) JobUnselected: {'identifier': 'pmb2_navigation'}
[0.000799] (-) JobUnselected: {'identifier': 'pmb2_robot'}
[0.000809] (-) JobUnselected: {'identifier': 'tiago_2dnav'}
[0.000820] (-) JobUnselected: {'identifier': 'tiago_bringup'}
[0.000831] (-) JobUnselected: {'identifier': 'tiago_controller_configuration'}
[0.000842] (-) JobUnselected: {'identifier': 'tiago_description'}
[0.000853] (-) JobUnselected: {'identifier': 'tiago_gazebo'}
[0.000864] (-) JobUnselected: {'identifier': 'tiago_harmonic'}
[0.000875] (-) JobUnselected: {'identifier': 'tiago_laser_sensors'}
[0.000885] (-) JobUnselected: {'identifier': 'tiago_moveit_config'}
[0.000896] (-) JobUnselected: {'identifier': 'tiago_navigation'}
[0.000907] (-) JobUnselected: {'identifier': 'tiago_robot'}
[0.000918] (-) JobUnselected: {'identifier': 'tiago_simulation'}
[0.000930] (-) EventReactorShutdown: {}
